ปีการศึกษา,สถาบัน,วิทยาเขต,รหัสหลักสูตร,คณะ/สำนักวิชา,ชื่อหลักสูตร,รายละเอียด,สาขาวิชา/วิชาเอก,รหัสรับร่วม,รับ,สมัคร,ผ่าน,คะแนนต่ำสุด,คะแนนสูงสุด,เกรดเฉลี่ย,TGAT,TGAT1,TGAT2,TGAT3,TPAT3,A-Level คณิตศาสตร์ประยุกต์ 1,A-Level วิทยาศาสตร์ประยุกต์,A-Level ฟิสิกส์,A-Level เคมี,A-Level ชีววิทยา,A-Level สังคมศาสตร์,A-Level ภาษาไทย,A-Level ภาษาอังกฤษ,ค่าน้ำหนักลำดับที่เลือก
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,กรุงเทพฯ,10150104220201A,คณะวิทยาศาสตร์ประยุกต์,วท.บ.วิทยาการคอมพิวเตอร์,การคัดเลือกผ่านระบบกลาง Admissions,,0,60,"1,745",60,63.6216,71.6888,,40,,,,60,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,กรุงเทพฯ,10150104220201B,คณะวิทยาศาสตร์ประยุกต์,วท.บ.วิทยาการคอมพิวเตอร์,การคัดเลือกผ่านระบบกลาง Admissions,,0,80,332,80,49.6552,70.2550,,40,,,,60,,,,,,,,,
2566,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,กรุงเทพฯ,10150104220201C,คณะวิทยาศาสตร์ประยุกต์,วท.บ.วิทยาการคอมพิวเตอร์ (หลักสูตรสองภาษา),การคัดเลือกผ่านระบบกลาง Admissions,,0,40,131,40,45.8108,69.6104,,40,,,,60,,,,,,,,,
2566,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,ลาดกระบัง,10160105220201A,คณะวิทยาศาสตร์,วท.บ. วิทยาการคอมพิวเตอร์,,,0,40,507,40,55.1639,62.5087,,10,,,,,50,,10,10,10,,,10,
2566,มหาวิทยาลัยเทคโนโลยีสุรนารี,วิทยาเขตหลัก,10170101220201A,สำนักวิชาวิทยาศาสตร์,วิทยาการคอมพิวเตอร์,สำนักวิชาวิทยาศาสตร์ (สาขาวิชาวิทยาการคอมพิวเตอร์)-ใช้คะแนนTGAT-TPAT,,3003,60,148,48,14.2000,68.6884,20,20,,,,60,,,,,,,,,
2566,มหาวิทยาลัยบูรพา,หลัก,10190110220201A,คณะวิทยาการสารสนเทศ,หลักสูตรวิทยาศาสตรบัณฑิต (วท.บ.) สาขาวิชาวิทยาการคอมพิวเตอร์ ภาคปกติ,Admission ,,0,60,682,60,57.0231,76.1298,5,55,,,,40,,,,,,,,,
2566,มหาวิทยาลัยนเรศวร,วิทยาเขตหลัก,10200118220201A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,admission (แบบที่ 2),,0,5,60,5,48.2481,60.0850,20,30,,,,,20,30,,,,,,,
2566,มหาวิทยาลัยนเรศวร,วิทยาเขตหลัก,10200118220201A,คณะวิทยาศาสตร์,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาวิทยาการคอมพิวเตอร์,admission (แบบที่ 1),,0,30,158,30,41.5283,50.5050,20,30,,,,,20,,10,10,10,,,,
2566,มหาวิทยาลัยมหาสารคาม,มหาสารคาม,10210112220201A,คณะวิทยาการสารสนเทศ,วท.บ. วิทยาการคอมพิวเตอร์,โครงการรอบที่ 3 Admission รูปแบบที่ 1,,0,8,111,8,50.9720,60.1380,,100,,,,,,,,,,,,,
2566,มหาวิทยาลัยมหาสารคาม,มหาสารคาม,10210112220202E,คณะวิทยาการสารสนเทศ,วท.บ. วิทยาการคอมพิวเตอร์และเทคโนโลยี (หลักสูตรนานาชาติ),โครงการรอบที่ 3 Admission รูปแบบที่ 1,,0,15,8,2,34.2164,41.5830,,,50,20,,30,,,,,,,,,
